"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Households!!Estimate!!Total","Households!!Margin of Error!!Total","Households!!Estimate!!Less than $10,000","Households!!Margin of Error!!Less than $10,000","Households!!Estimate!!$10,000 to $14,999","Households!!Margin of Error!!$10,000 to $14,999","Households!!Estimate!!$15,000 to $24,999","Households!!Margin of Error!!$15,000 to $24,999","Households!!Estimate!!$25,000 to $34,999","Households!!Margin of Error!!$25,000 to $34,999","Households!!Estimate!!$35,000 to $49,999","Households!!Margin of Error!!$35,000 to $49,999","Households!!Estimate!!$50,000 to $74,999","Households!!Margin of Error!!$50,000 to $74,999","Households!!Estimate!!$75,000 to $99,999","Households!!Margin of Error!!$75,000 to $99,999","Households!!Estimate!!$100,000 to $149,999","Households!!Margin of Error!!$100,000 to $149,999","Households!!Estimate!!$150,000 to $199,999","Households!!Margin of Error!!$150,000 to $199,999","Households!!Estimate!!$200,000 or more","Households!!Margin of Error!!$200,000 or more","Households!!Estimate!!Median income (dollars)","Households!!Margin of Error!!Median income (dollars)","Households!!Estimate!!Mean income (dollars)","Households!!Margin of Error!!Mean income (dollars)","Households!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Households!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Households!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Households!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Households!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Households!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Families!!Estimate!!Total","Families!!Margin of Error!!Total","Families!!Estimate!!Less than $10,000","Families!!Margin of Error!!Less than $10,000","Families!!Estimate!!$10,000 to $14,999","Families!!Margin of Error!!$10,000 to $14,999","Families!!Estimate!!$15,000 to $24,999","Families!!Margin of Error!!$15,000 to $24,999","Families!!Estimate!!$25,000 to $34,999","Families!!Margin of Error!!$25,000 to $34,999","Families!!Estimate!!$35,000 to $49,999","Families!!Margin of Error!!$35,000 to $49,999","Families!!Estimate!!$50,000 to $74,999","Families!!Margin of Error!!$50,000 to $74,999","Families!!Estimate!!$75,000 to $99,999","Families!!Margin of Error!!$75,000 to $99,999","Families!!Estimate!!$100,000 to $149,999","Families!!Margin of Error!!$100,000 to $149,999","Families!!Estimate!!$150,000 to $199,999","Families!!Margin of Error!!$150,000 to $199,999","Families!!Estimate!!$200,000 or more","Families!!Margin of Error!!$200,000 or more","Families!!Estimate!!Median income (dollars)","Families!!Margin of Error!!Median income (dollars)","Families!!Estimate!!Mean income (dollars)","Families!!Margin of Error!!Mean income (dollars)","Families!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Families!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Families!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Families!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Families!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Families!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Married-couple families!!Estimate!!Total","Married-couple families!!Margin of Error!!Total","Married-couple families!!Estimate!!Less than $10,000","Married-couple families!!Margin of Error!!Less than $10,000","Married-couple families!!Estimate!!$10,000 to $14,999","Married-couple families!!Margin of Error!!$10,000 to $14,999","Married-couple families!!Estimate!!$15,000 to $24,999","Married-couple families!!Margin of Error!!$15,000 to $24,999","Married-couple families!!Estimate!!$25,000 to $34,999","Married-couple families!!Margin of Error!!$25,000 to $34,999","Married-couple families!!Estimate!!$35,000 to $49,999","Married-couple families!!Margin of Error!!$35,000 to $49,999","Married-couple families!!Estimate!!$50,000 to $74,999","Married-couple families!!Margin of Error!!$50,000 to $74,999","Married-couple families!!Estimate!!$75,000 to $99,999","Married-couple families!!Margin of Error!!$75,000 to $99,999","Married-couple families!!Estimate!!$100,000 to $149,999","Married-couple families!!Margin of Error!!$100,000 to $149,999","Married-couple families!!Estimate!!$150,000 to $199,999","Married-couple families!!Margin of Error!!$150,000 to $199,999","Married-couple families!!Estimate!!$200,000 or more","Married-couple families!!Margin of Error!!$200,000 or more","Married-couple families!!Estimate!!Median income (dollars)","Married-couple families!!Margin of Error!!Median income (dollars)","Married-couple families!!Estimate!!Mean income (dollars)","Married-couple families!!Margin of Error!!Mean income (dollars)","Married-couple families!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Married-couple families!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Married-couple families!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Nonfamily households!!Estimate!!Total","Nonfamily households!!Margin of Error!!Total","Nonfamily households!!Estimate!!Less than $10,000","Nonfamily households!!Margin of Error!!Less than $10,000","Nonfamily households!!Estimate!!$10,000 to $14,999","Nonfamily households!!Margin of Error!!$10,000 to $14,999","Nonfamily households!!Estimate!!$15,000 to $24,999","Nonfamily households!!Margin of Error!!$15,000 to $24,999","Nonfamily households!!Estimate!!$25,000 to $34,999","Nonfamily households!!Margin of Error!!$25,000 to $34,999","Nonfamily households!!Estimate!!$35,000 to $49,999","Nonfamily households!!Margin of Error!!$35,000 to $49,999","Nonfamily households!!Estimate!!$50,000 to $74,999","Nonfamily households!!Margin of Error!!$50,000 to $74,999","Nonfamily households!!Estimate!!$75,000 to $99,999","Nonfamily households!!Margin of Error!!$75,000 to $99,999","Nonfamily households!!Estimate!!$100,000 to $149,999","Nonfamily households!!Margin of Error!!$100,000 to $149,999","Nonfamily households!!Estimate!!$150,000 to $199,999","Nonfamily households!!Margin of Error!!$150,000 to $199,999","Nonfamily households!!Estimate!!$200,000 or more","Nonfamily households!!Margin of Error!!$200,000 or more","Nonfamily households!!Estimate!!Median income (dollars)","Nonfamily households!!Margin of Error!!Median income (dollars)","Nonfamily households!!Estimate!!Mean income (dollars)","Nonfamily households!!Margin of Error!!Mean income (dollars)","Nonfamily households!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Nonfamily households!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Nonfamily households!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"0500000US01003","Baldwin County, Alabama","76779","3010","6.0","1.7","5.9","1.7","9.5","2.0","8.8","1.6","14.2","2.4","17.7","2.8","13.2","2.0","15.7","2.6","4.4","1.3","4.6","1.2","56732","3829","74892","4192","36.3","(X)","(X)","(X)","(X)","(X)","49943","3287","2.7","1.3","3.5","1.7","5.9","2.0","6.9","2.0","10.3","2.5","20.1","3.4","16.2","2.9","20.9","3.6","6.5","1.9","7.1","1.9","75741","5089","93516","5613","(X)","(X)","38.6","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","85509","5320","N","N","(X)","(X)","(X)","(X)","(X)","(X)","26836","2574","12.6","3.9","10.4","4.0","16.6","5.0","14.1","4.3","20.3","4.7","12.9","4.4","6.9","2.8","5.5","2.7","0.7","0.8","0.0","0.6","31812","3580","38848","3884","(X)","(X)","(X)","(X)","30.7","(X)"
"0500000US01015","Calhoun County, Alabama","43972","1687","8.7","1.9","6.5","2.0","14.4","2.7","11.6","2.2","14.4","2.6","19.0","3.7","12.5","3.0","9.1","2.3","1.7","0.7","2.1","1.0","41687","3903","58992","5020","35.4","(X)","(X)","(X)","(X)","(X)","30403","1889","4.3","1.7","2.2","1.5","12.7","3.2","11.4","3.0","15.8","2.8","21.7","4.2","15.1","3.5","11.8","3.3","2.4","0.8","2.6","1.5","52838","3261","68916","6584","(X)","(X)","35.6","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","59353","4458","N","N","(X)","(X)","(X)","(X)","(X)","(X)","13569","1485","19.8","4.8","16.5","5.1","19.8","4.9","11.7","3.9","13.9","5.0","12.1","5.7","4.5","2.4","0.4","0.8","0.8","1.3","0.5","0.7","21597","2436","32686","5561","(X)","(X)","(X)","(X)","32.0","(X)"
"0500000US01043","Cullman County, Alabama","30299","1234","9.7","2.7","5.1","2.2","14.3","3.5","12.4","2.4","18.0","2.7","17.9","3.4","8.1","2.1","9.5","2.8","3.1","1.3","1.8","1.1","39411","3647","54412","4271","34.5","(X)","(X)","(X)","(X)","(X)","21551","1384","6.8","3.3","3.0","2.3","9.9","3.5","11.7","2.9","18.7","3.6","21.0","3.8","9.9","2.9","12.2","3.9","4.4","1.8","2.4","1.4","49937","4492","63914","5327","(X)","(X)","33.1","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","59225","6265","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8748","1321","18.7","6.3","9.5","4.4","25.1","8.1","15.1","5.6","15.2","5.3","9.7","6.1","3.7","2.8","2.9","3.3","0.0","1.8","0.0","1.8","22614","5307","29126","4026","(X)","(X)","(X)","(X)","37.3","(X)"
"0500000US01049","DeKalb County, Alabama","25383","1190","11.7","3.3","8.4","3.2","9.8","2.4","18.6","4.4","16.6","4.2","17.1","3.5","8.8","2.5","5.9","1.7","1.5","1.2","1.6","1.1","35963","3259","48529","4224","38.2","(X)","(X)","(X)","(X)","(X)","18834","1335","7.0","2.8","4.6","2.8","8.1","3.3","20.4","5.2","21.1","5.7","17.3","4.3","10.5","2.9","7.0","2.1","2.0","1.6","1.9","1.4","40496","3287","54066","4666","(X)","(X)","40.1","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","49409","3565","N","N","(X)","(X)","(X)","(X)","(X)","(X)","6549","1089","28.0","8.0","20.1","8.6","14.4","6.3","13.0","6.4","6.7","2.9","11.4","5.9","2.9","3.3","2.5","3.1","0.0","2.4","1.0","1.3","16198","5370","30008","7224","(X)","(X)","(X)","(X)","31.7","(X)"
"0500000US01051","Elmore County, Alabama","29350","1102","6.0","3.2","5.7","2.5","12.6","3.8","7.6","2.5","14.3","3.6","17.1","3.4","13.6","3.3","15.2","3.3","3.7","1.5","4.2","2.5","52579","6661","71553","7080","34.1","(X)","(X)","(X)","(X)","(X)","21413","1872","6.8","4.6","2.6","1.9","8.7","4.3","7.7","3.2","10.4","3.3","17.9","4.0","15.7","4.6","19.9","4.5","5.1","2.0","5.2","3.3","67426","8432","82014","9423","(X)","(X)","35.0","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","81405","8000","N","N","(X)","(X)","(X)","(X)","(X)","(X)","7937","1425","7.4","4.4","10.6","5.5","23.2","8.6","8.9","5.2","23.7","8.2","15.7","6.7","6.1","3.5","2.7","2.0","0.0","2.0","1.6","1.9","34672","9506","42485","7606","(X)","(X)","(X)","(X)","30.2","(X)"
"0500000US01055","Etowah County, Alabama","38766","1489","9.4","2.3","6.3","2.2","13.7","2.5","12.5","2.6","15.2","3.2","18.8","2.9","10.5","2.6","8.4","2.0","2.3","1.5","2.8","1.6","41152","2983","55243","3843","39.7","(X)","(X)","(X)","(X)","(X)","26348","1553","5.8","2.4","3.8","1.8","10.8","3.2","13.1","3.1","13.0","3.0","22.0","3.9","14.2","3.5","10.6","2.7","3.3","2.2","3.5","2.2","53675","5121","65211","5370","(X)","(X)","39.5","(X)","(X)","(X)","18317","1466","1.5","1.0","1.9","1.2","6.1","2.3","8.1","2.3","15.7","4.2","27.0","5.5","16.5","4.4","13.6","3.7","4.7","3.1","5.0","3.1","65481","2977","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12418","1392","17.2","5.0","12.9","5.0","18.8","4.8","14.1","4.4","16.9","6.0","12.2","4.5","4.2","2.7","3.2","2.0","0.4","0.6","0.0","1.3","25326","4668","32243","4037","(X)","(X)","(X)","(X)","35.5","(X)"
"0500000US01069","Houston County, Alabama","39167","959","9.2","1.5","7.0","1.1","15.0","1.9","10.8","1.3","14.0","1.6","17.0","1.9","11.9","1.5","9.1","1.3","3.2","0.8","2.9","0.5","42321","2690","59912","2517","41.1","(X)","(X)","(X)","(X)","(X)","25102","1015","5.7","1.2","4.7","1.2","11.6","2.0","9.6","1.5","14.2","1.8","18.8","2.2","14.3","1.9","12.5","1.6","4.3","1.1","4.2","0.8","54251","2554","71527","3121","(X)","(X)","40.5","(X)","(X)","(X)","17102","909","1.3","0.6","1.8","0.9","6.8","2.0","7.8","1.6","12.3","1.9","22.0","2.9","19.1","2.5","17.1","2.4","6.0","1.5","5.8","1.1","72593","4809","N","N","(X)","(X)","(X)","(X)","(X)","(X)","14065","787","16.7","3.5","12.0","2.5","22.3","4.1","12.8","2.4","12.8","2.9","12.5","3.5","7.3","3.1","2.0","1.1","1.0","0.6","0.5","0.3","24527","2558","36710","3888","(X)","(X)","(X)","(X)","39.4","(X)"
"0500000US01073","Jefferson County, Alabama","261904","4316","9.1","0.9","5.7","0.8","10.8","0.9","10.7","0.9","13.5","1.2","17.2","1.0","11.4","1.0","11.7","0.8","4.7","0.6","5.2","0.6","50180","1412","74945","2961","38.9","(X)","(X)","(X)","(X)","(X)","164604","4611","5.3","0.9","2.8","0.7","7.3","1.0","9.6","1.1","13.0","1.5","18.0","1.4","14.0","1.3","15.6","1.3","6.9","0.9","7.5","0.9","66096","2236","93096","4661","(X)","(X)","41.6","(X)","(X)","(X)","107132","3771","1.1","0.4","0.8","0.3","3.4","0.9","7.0","1.2","11.0","1.4","18.1","1.5","16.9","1.9","21.1","1.7","9.7","1.4","11.0","1.4","87880","3368","118439","6759","(X)","(X)","(X)","(X)","(X)","(X)","97300","4173","16.2","1.9","10.4","1.6","17.1","2.1","12.9","1.9","14.3","1.7","15.3","1.8","7.2","1.5","4.6","0.9","0.7","0.5","1.2","0.4","29941","1826","42795","2636","(X)","(X)","(X)","(X)","33.2","(X)"
"0500000US01077","Lauderdale County, Alabama","37875","1391","8.6","2.4","6.3","2.1","12.3","2.3","11.4","2.5","17.3","2.8","15.2","3.1","14.3","2.9","9.1","2.3","3.8","1.6","1.7","0.9","43427","3414","58691","3561","45.2","(X)","(X)","(X)","(X)","(X)","23256","1897","4.0","2.1","4.1","2.2","7.4","3.1","9.4","3.1","15.1","3.3","19.1","4.5","19.2","4.2","14.5","3.7","4.5","2.1","2.7","1.5","64042","7090","74114","5065","(X)","(X)","42.5","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","69566","4877","N","N","(X)","(X)","(X)","(X)","(X)","(X)","14619","1606","16.1","5.0","11.2","4.5","20.2","4.8","15.0","5.2","20.8","4.9","8.5","3.5","6.0","3.0","1.3","1.4","1.0","1.1","0.0","1.1","26743","3864","32345","3381","(X)","(X)","(X)","(X)","49.1","(X)"
"0500000US01081","Lee County, Alabama","59354","1783","11.1","2.1","5.7","1.9","11.2","2.2","8.0","1.8","16.2","3.0","19.2","3.5","8.8","1.9","12.3","2.2","4.6","1.6","3.0","1.1","48056","3169","64562","5188","37.7","(X)","(X)","(X)","(X)","(X)","35925","2319","5.1","2.2","2.7","1.8","7.5","2.7","7.0","2.2","14.4","4.6","20.6","4.3","12.4","2.8","18.1","3.5","7.3","2.7","4.9","1.8","66857","7211","84597","7787","(X)","(X)","38.3","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","84390","8339","N","N","(X)","(X)","(X)","(X)","(X)","(X)","23429","2478","21.0","4.8","11.4","4.1","16.1","4.1","9.9","3.2","18.0","5.3","17.0","5.9","2.8","1.8","3.5","1.7","0.4","0.6","0.0","0.7","26351","7069","33186","3497","(X)","(X)","(X)","(X)","34.0","(X)"
"0500000US01083","Limestone County, Alabama","31880","1214","9.3","3.6","4.2","1.7","10.9","3.0","9.7","2.7","14.6","3.1","16.7","3.3","14.8","3.3","10.5","2.6","4.2","1.5","5.1","2.0","50872","3338","69299","5927","30.6","(X)","(X)","(X)","(X)","(X)","21941","1629","6.7","4.0","2.5","1.7","5.8","2.7","7.0","2.9","13.4","3.5","20.4","4.2","18.9","4.2","13.7","3.8","5.7","2.2","6.1","2.7","66883","6381","82344","7840","(X)","(X)","30.1","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","79864","7000","N","N","(X)","(X)","(X)","(X)","(X)","(X)","9939","1325","15.3","6.9","7.9","3.9","23.2","7.4","15.7","6.5","16.4","6.8","10.7","5.2","3.7","3.3","3.4","2.4","1.4","1.4","2.4","2.5","27197","6040","39119","6199","(X)","(X)","(X)","(X)","31.1","(X)"
