Location,Household Total,Median,Mean
"Baldwin County, Alabama",76779.0,56732.0,74892.0
"Calhoun County, Alabama",43972.0,41687.0,58992.0
"Cullman County, Alabama",30299.0,39411.0,54412.0
"DeKalb County, Alabama",25383.0,35963.0,48529.0
"Elmore County, Alabama",29350.0,52579.0,71553.0
"Etowah County, Alabama",38766.0,41152.0,55243.0
"Houston County, Alabama",39167.0,42321.0,59912.0
"Jefferson County, Alabama",261904.0,50180.0,74945.0
"Lauderdale County, Alabama",37875.0,43427.0,58691.0
"Lee County, Alabama",59354.0,48056.0,64562.0
"Limestone County, Alabama",31880.0,50872.0,69299.0
"Madison County, Alabama",143669.0,60503.0,85057.0
"Marshall County, Alabama",34726.0,42362.0,59315.0
"Mobile County, Alabama",157141.0,45744.0,61800.0
"Montgomery County, Alabama",90827.0,45395.0,65678.0
"Morgan County, Alabama",44816.0,44378.0,59794.0
"St. Clair County, Alabama",31615.0,60158.0,65740.0
"Shelby County, Alabama",76059.0,73647.0,91136.0
"Talladega County, Alabama",31517.0,39393.0,51776.0
"Tuscaloosa County, Alabama",73825.0,47787.0,65773.0
"Walker County, Alabama",23863.0,39068.0,50794.0
"Anchorage Municipality, Alaska",105249.0,85634.0,106393.0
"Fairbanks North Star Borough, Alaska",33770.0,77328.0,87359.0
"Matanuska-Susitna Borough, Alaska",30305.0,69332.0,87787.0
"Apache County, Arizona",20018.0,34685.0,44505.0
"Cochise County, Arizona",50147.0,45508.0,55174.0
"Coconino County, Arizona",47408.0,55091.0,67297.0
"Maricopa County, Arizona",1521131.0,58737.0,81501.0
"Mohave County, Arizona",84876.0,42423.0,57530.0
"Navajo County, Arizona",33587.0,36998.0,51447.0
"Pima County, Arizona",400835.0,47560.0,65881.0
"Pinal County, Arizona",132352.0,52555.0,65692.0
"Yavapai County, Arizona",94962.0,50420.0,65804.0
"Yuma County, Arizona",73072.0,43518.0,56872.0
"Benton County, Arkansas",94494.0,63631.0,83871.0
"Craighead County, Arkansas",39813.0,43678.0,64488.0
"Faulkner County, Arkansas",43964.0,48506.0,65068.0
"Garland County, Arkansas",39309.0,42826.0,56172.0
"Jefferson County, Arkansas",26750.0,37712.0,51502.0
"Lonoke County, Arkansas",26327.0,55837.0,64569.0
"Pulaski County, Arkansas",161291.0,47387.0,72387.0
"Saline County, Arkansas",43371.0,64932.0,75347.0
"Sebastian County, Arkansas",51055.0,42053.0,56346.0
"Washington County, Arkansas",88690.0,45679.0,64869.0
"White County, Arkansas",28221.0,42844.0,54969.0
"Alameda County, California",572012.0,89979.0,117667.0
"Butte County, California",85531.0,45177.0,65703.0
"Contra Costa County, California",391288.0,91045.0,122204.0
"El Dorado County, California",69653.0,75772.0,100639.0
"Fresno County, California",303216.0,48715.0,68967.0
"Humboldt County, California",54230.0,43130.0,64617.0
"Imperial County, California",44855.0,49095.0,63208.0
"Kern County, California",270359.0,49903.0,67594.0
"Kings County, California",43090.0,53234.0,67901.0
"Lake County, California",24593.0,42029.0,60536.0
"Los Angeles County, California",3305589.0,61338.0,89718.0
"Madera County, California",44369.0,51657.0,67604.0
"Marin County, California",106333.0,103845.0,160053.0
"Mendocino County, California",35439.0,43809.0,65838.0
"Merced County, California",77713.0,47739.0,70672.0
"Monterey County, California",125740.0,63876.0,88289.0
"Napa County, California",49561.0,75077.0,106368.0
"Nevada County, California",38708.0,59022.0,85575.0
"Orange County, California",1032218.0,81837.0,113420.0
"Placer County, California",139104.0,85426.0,110245.0
"Riverside County, California",715040.0,60134.0,79354.0
"Sacramento County, California",535090.0,59780.0,81290.0
"San Bernardino County, California",633173.0,56337.0,73078.0
"San Diego County, California",1110568.0,70824.0,96692.0
"San Francisco County, California",358703.0,103801.0,144957.0
"San Joaquin County, California",227186.0,59518.0,77528.0
"San Luis Obispo County, California",106312.0,70564.0,88338.0
"San Mateo County, California",263445.0,108627.0,156259.0
